Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S
44,309.061668,309.0616672732284,309.06142876412906,1305307.3,-9999,514704.2,19.75,-1,0.771720690934586,0.8975716959960809,0,0.5385430175976486,3,2.111111111111111,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,N/A,C9 H19 O2 N4 P1 S2,9,19,2,4,1,2
45,309.097971,309.0979702731796,309.0979764648091,1913182.4,-9999,560358.6,29.87,-1,-0.02003128446891787,0.9999271959372013,0,0.5999563175623207,7,1.2,0.4666666666666667,O7,de-protonated,0,N/A,C15 H18 O7,15,18,7,-9999,-9999,-9999
45,309.097971,309.0979702731796,309.09781427347906,1913182.4,-9999,560358.6,29.87,-1,0.5046936385479844,0.9548339542774686,0,0.5729003725664812,2,2.3,0.1,N4 S2 P1 O1,de-protonated,0,N/A,C10 H23 O1 N4 P1 S2,10,23,1,4,1,2
46,309.134302,309.13430127313086,309.13436197415905,921953.5,-9999,647292,13.37,-1,-0.19635807485789375,0.9930283901083924,0,0.5958170340650354,6,1.375,0.375,O6,de-protonated,0,N/A,C16 H22 O6,16,22,6,-9999,-9999,-9999
47,309.174135,309.17413427307736,309.17411878682907,2561637,-9999,545500.9,40.66,-1,0.05008908361429229,0.9995448640395947,0,0.5997269184237568,0,2.142857142857143,0.35714285714285715,S1 O5,de-protonated,0,N/A,C14 H30 O5 S1,14,30,5,-9999,-9999,1
48,311.040858,311.04085727057105,311.0408555105691,1327622.5,-9999,695921,20.12,-1,0.00565842696684793,0.9999941904299,0,0.5999965142579401,8,0.9230769230769232,0.6923076923076923,O9,de-protonated,0,N/A,C13 H12 O9,13,12,9,-9999,-9999,-9999
48,311.040858,311.04085727057105,311.0406933192391,1327622.5,-9999,695921,20.12,-1,0.5271057307853316,0.9508359015361488,0,0.5705015409216894,3,2.125,0.375,N4 S2 P1 O3,de-protonated,0,N/A,C8 H17 O3 N4 P1 S2,8,17,3,4,1,2
49,311.077273,311.07727227052214,311.0772410199191,2112777.8,-9999,573677,33.19,-1,0.10045930379135676,0.998170482455804,0,0.5989022894734823,7,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,N/A,C14 H16 O8,14,16,8,-9999,-9999,-9999
49,311.077273,311.07727227052214,311.0770788285891,2112777.8,-9999,573677,33.19,-1,0.6218456653188182,0.93224021031217,0,0.5593441261873019,2,2.3333333333333335,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,N/A,C9 H21 O2 N4 P1 S2,9,21,2,4,1,2
50,311.113623,311.11362227047334,311.1136265292691,1927948.9,-9999,661621.5,30.11,-1,-0.01368887563191217,0.999965999758587,0,0.5999795998551521,6,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,N/A,C15 H20 O7,15,20,7,-9999,-9999,-9999
50,311.113623,311.11362227047334,311.1134643379391,1927948.9,-9999,661621.5,30.11,-1,0.5076364489288022,0.9543179554291324,0,0.5725907732574794,1,2.5,0.1,N4 S2 P1 O1,de-protonated,0,N/A,C10 H25 O1 N4 P1 S2,10,25,1,4,1,2
51,311.150018,311.1500172704245,311.1500120386191,870672.1,-9999,646644.3,12.52,-1,0.016814414914688,0.9999487013178322,0,0.5999692207906993,5,1.5,0.375,O6,de-protonated,0,N/A,C16 H24 O6,16,24,6,-9999,-9999,-9999
52,311.168639,311.16863827039947,311.16863948322913,4292881.5,-9999,562506.1,69.46,-1,-0.00389766031994588,0.9999972434796356,0,0.5999983460877814,4,1.6470588235294117,0.17647058823529413,S1 O3,de-protonated,0,N/A,C17 H28 O3 S1,17,28,3,-9999,-9999,1
55,311.937345,311.9373442693674,311.93733319083907,1311829.5,-9999,619116.4,19.73,-1,0.03551523695291354,0.9997711591435328,0,0.5998626954861196,10,0.4,0.7,N1 S1 P1 O7,de-protonated,0,N/A,C10 H4 O7 N1 P1 S1,10,4,7,1,1,1
56,313.05651,313.0565092678647,313.0565055750291,1586617.5,-9999,580204.9,24.27,-1,0.0117960672899088,0.9999747522414496,0,0.5999848513448698,7,1.0769230769230769,0.6923076923076923,O9,de-protonated,0,N/A,C13 H14 O9,13,14,9,-9999,-9999,-9999
56,313.05651,313.0565092678647,313.056343383699,1586617.5,-9999,580204.9,24.27,-1,0.5298859748932739,0.9503290297411836,0,0.5701974178447101,2,2.375,0.375,N4 S2 P1 O3,de-protonated,0,N/A,C8 H19 O3 N4 P1 S2,8,19,3,4,1,2
57,313.09286,313.09285926781587,313.0928910843791,1898684.8,-9999,509001.5,29.43,-1,-0.10162020332205988,0.9981279944627398,0,0.5988767966776438,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,N/A,C14 H18 O8,14,18,8,-9999,-9999,-9999
58,313.129274,313.129273267767,313.12927659372906,1310528,-9999,632643.5,19.7,-1,-0.01062168979237654,0.9999795291153876,0,0.5999877174692325,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,N/A,C15 H22 O7,15,22,7,-9999,-9999,-9999
59,315.035747,315.0357462652073,315.03577013013904,1093486.4,-9999,658418.7,16.11,-1,-0.07575308582907388,0.9989592931792064,0,0.5993755759075238,7,1,0.8333333333333334,O10,de-protonated,0,N/A,C12 H12 O10,12,12,10,-9999,-9999,-9999
59,315.035747,315.0357462652073,315.03560793880905,1093486.4,-9999,658418.7,16.11,-1,0.4390817887620256,0.9656227940135864,0,0.5793736764081517,2,2.4285714285714284,0.5714285714285714,N4 S2 P1 O4,de-protonated,0,N/A,C7 H17 O4 N4 P1 S2,7,17,4,4,1,2
60,315.072173,315.0721722651584,315.0721556394891,1405809.8,-9999,610267.1,21.28,-1,0.05276781517340908,0.99949489420816,0,0.599696936524896,6,1.2307692307692308,0.6923076923076923,O9,de-protonated,0,N/A,C13 H16 O9,13,16,9,-9999,-9999,-9999
61,315.108575,315.1085742651095,315.10854114883904,1543285.1,-9999,595143.2,23.55,-1,0.10509480427786912,0.9979979209983088,0,0.5987987525989852,5,1.4285714285714286,0.5714285714285714,O8,de-protonated,0,N/A,C14 H20 O8,14,20,8,-9999,-9999,-9999
62,317.087866,317.087865262452,317.0878057039491,862767.8,-9999,585201.2,12.3,-1,0.18782968583013057,0.9936189380025636,0,0.5961713628015382,5,1.3846153846153846,0.6923076923076923,O9,de-protonated,0,N/A,C13 H18 O9,13,18,9,-9999,-9999,-9999
63,319.045939,319.04593825982295,319.0459408909991,1088622.6,-9999,642891.1,15.92,-1,-0.00824701333908101,0.999987659165092,0,0.5999925954990553,10,0.8,0.5333333333333333,O8,de-protonated,0,N/A,C15 H12 O8,15,12,8,-9999,-9999,-9999
63,319.045939,319.04593825982295,319.0457786996691,1088622.6,-9999,642891.1,15.92,-1,0.5001167998881255,0.9556310539602284,0,0.573378632376137,5,1.7,0.2,N4 S2 P1 O2,de-protonated,0,N/A,C10 H17 O2 N4 P1 S2,10,17,2,4,1,2
64,321.025227,321.02522625716546,321.02520544610906,1134774.1,-9999,605232.4,16.68,-1,0.06482686109586393,0.9992377485798316,0,0.5995426491478989,10,0.7142857142857143,0.6428571428571429,O9,de-protonated,0,N/A,C14 H10 O9,14,10,9,-9999,-9999,-9999
64,321.025227,321.02522625716546,321.02504325477906,1134774.1,-9999,605232.4,16.68,-1,0.5700564184579486,0.9427403781924324,0,0.5656442269154595,5,1.6666666666666667,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,N/A,C9 H15 O3 N4 P1 S2,9,15,3,4,1,2
65,321.061608,321.0616072571166,321.06159095545905,1592761.9,-9999,601823.3,24.2,-1,0.05077423766510474,0.9995323304666828,0,0.5997193982800096,9,0.9333333333333332,0.5333333333333333,O8,de-protonated,0,N/A,C15 H14 O8,15,14,8,-9999,-9999,-9999
65,321.061608,321.0616072571166,321.0614287641291,1592761.9,-9999,601823.3,24.2,-1,0.5559465306871184,0.9454620463369694,0,0.5672772278021816,4,1.9,0.2,N4 S2 P1 O2,de-protonated,0,N/A,C10 H19 O2 N4 P1 S2,10,19,2,4,1,2
66,321.097959,321.09795825706783,321.0979764648091,1493693.6,-9999,557943.2,22.57,-1,-0.0567046279077396,0.9994167373676668,0,0.5996500424206,8,1.125,0.4375,O7,de-protonated,0,N/A,C16 H18 O7,16,18,7,-9999,-9999,-9999
66,321.097959,321.09795825706783,321.09781427347906,1493693.6,-9999,557943.2,22.57,-1,0.448410367092218,0.964173304223278,0,0.5785039825339668,3,2.090909090909091,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,N/A,C11 H23 O1 N4 P1 S2,11,23,1,4,1,2
67,323.040865,323.04086425445917,323.0408555105691,1645192.9,-9999,607935.4,24.81,-1,0.02706744341655234,0.999867071092125,0,0.599920242655275,9,0.8571428571428571,0.6428571428571429,O9,de-protonated,0,N/A,C14 H12 O9,14,12,9,-9999,-9999,-9999
67,323.040865,323.04086425445917,323.0406933192391,1645192.9,-9999,607935.4,24.81,-1,0.5291445431001618,0.9504644359075418,0,0.5702786615445251,4,1.8888888888888888,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,N/A,C9 H17 O3 N4 P1 S2,9,17,3,4,1,2
68,323.07722,323.07721925441035,323.0772410199191,1657484.8,-9999,492883,25.01,-1,-0.06736936549691643,0.999176810300163,0,0.5995060861800978,8,1.0666666666666669,0.5333333333333333,O8,de-protonated,0,N/A,C15 H16 O8,15,16,8,-9999,-9999,-9999
68,323.07722,323.07721925441035,323.0770788285891,1657484.8,-9999,492883,25.01,-1,0.4346511419706718,0.9663013094146988,0,0.5797807856488193,3,2.1,0.2,N4 S2 P1 O2,de-protonated,0,N/A,C10 H21 O2 N4 P1 S2,10,21,2,4,1,2
