Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
233,278.063081,278.0630943128857,278.06285159089913,3856465,-9999,559398.1,61.63,-1,0.8729033209294849,0.8708751279532383,0.9932687698110624,0.919832584696368,4,1.875,0.75,13C1 N2 P1 O6,de-protonated,1,229,C8 H15 O6 N2 P1 13C1,8,15,6,2,1,-9999,1,-9999,-9999,-9999,-9999
236,279.056315,279.05632751199306,279.05638643394906,2083029.3,-9999,972915.5,32.4,-1,-0.2111471332011239,0.991943085254578,0,0.5951658511527468,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
238,279.087531,279.08754348682214,279.08741178077906,982745.4,-9999,762915.2,14.26,-1,0.47191681716313977,0.960395963863568,0,0.5762375783181407,7,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,-9999,C14 H16 O6,14,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
239,279.09871,279.09872247780794,279.0986451700691,1190490.9,-9999,554795.8,17.68,-1,0.27699073484646114,0.9861750102863364,0,0.5917050061718018,7,1.2307692307692308,0.38461538461538464,N2 O5,de-protonated,0,-9999,C13 H16 O5 N2,13,16,5,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
240,279.100554,279.10056647632103,279.1002989403491,1355611.1,-9999,693086.6,20.4,-1,0.958565694694825,0.8464333663323299,0,0.5078600197993979,2,1.9090909090909092,0.5454545454545454,P1 O6,de-protonated,0,-9999,C11 H21 O6 P1,11,21,6,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
241,279.123928,279.12394045747345,279.12379729012906,1133982.1,-9999,550809,16.75,-1,0.5129170130970131,0.953385236718068,0,0.5720311420308407,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
242,279.160317,279.16032942813126,279.16018279947906,2095075,-9999,636014.8,32.59,-1,0.5252491624440789,0.951173040965804,0,0.5707038245794824,5,1.5,0.25,O4,de-protonated,0,-9999,C16 H24 O4,16,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
243,279.196711,279.196723398785,279.19656830882906,911335.9,-9999,579405.2,13.08,-1,0.5554866125572094,0.9455497427725456,0,0.5673298456635273,4,1.6470588235294117,0.17647058823529413,O3,de-protonated,0,-9999,C17 H28 O3,17,28,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
244,280.060204,280.06021570250886,280.06003178306906,1353690.1,-9999,646881.6,20.37,-1,0.6567143430667807,0.9247294678303992,0,0.5548376806982395,2,2,0.2,N1 S2 P1 O2,de-protonated,0,-9999,C10 H20 O2 N1 P1 S2,10,20,2,1,1,2,-9999,-9999,-9999,-9999,-9999
246,281.052969,281.05297990199443,281.0527576051191,1300860.8,-9999,472795.3,19.5,-1,0.7909435837955486,0.8926927683500581,0,0.5356156610100348,8,1,0.6,N4 O6,de-protonated,0,-9999,C10 H10 O6 N4,10,10,6,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
247,281.066795,281.06680589084584,281.0666763358891,942174.5,-9999,618927.7,13.58,-1,0.4609402951356105,0.9621819889130244,0,0.5773091933478146,7,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,-9999,C13 H14 O7,13,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
248,281.10323,281.10324086146653,281.1030618452391,1516515.3,-9999,562884.5,23.05,-1,0.6368348543041329,0.9290543102139054,0,0.5574325861283432,6,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,-9999,C14 H18 O6,14,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
251,281.139549,281.13955983218074,281.1394473545891,2018536,-9999,649212.6,31.33,-1,0.4000775867659823,0.9713746426673492,0,0.5828247856004095,5,1.4666666666666666,0.3333333333333333,O5,de-protonated,0,-9999,C15 H22 O5,15,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
254,281.175977,281.17598780280707,281.1758328639391,6949357,-9999,528296.4,112.62,-1,0.5510390647765993,0.9256970968016844,0.9909717135011002,0.9518069434814508,4,1.625,0.25,O4,de-protonated,0,-9999,C16 H26 O4,16,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
255,281.21235,281.2123607734778,281.2122183732891,1864945.6,-9999,637632.6,28.8,-1,0.5063798065373024,0.954538630743848,0,0.5727231784463088,3,1.7647058823529411,0.17647058823529413,O3,de-protonated,0,-9999,C17 H30 O3,17,30,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
258,282.179387,282.17939699370913,282.1791876990091,1117168,-9999,584155.9,16.31,-1,0.7417084928711593,0.904999727969658,0.9909717135011002,0.9393885221822348,4,1.7333333333333334,0.26666666666666666,13C1 O4,de-protonated,1,254,C15 H26 O4 13C1,15,26,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
259,283.068614,283.0686232766824,283.0684076695791,1987939.8,-9999,470585.7,30.53,-1,0.7616784405196361,0.9000830972506226,0,0.5400498583503736,7,1.2,0.6,N4 O6,de-protonated,0,-9999,C10 H12 O6 N4,10,12,6,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
260,283.082504,283.08251326548213,283.0823264003491,1212901.5,-9999,687758,17.87,-1,0.6601087939180666,0.9239797645824708,0,0.5543878587494825,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
261,283.118888,283.11889723614405,283.1187119096991,2330346.3,-9999,506034.3,36.12,-1,0.6545891782558266,0.9251971751580698,0,0.5551183050948418,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
262,283.155299,283.15530820678407,283.15509741904907,3180271,-9999,543590.8,50,-1,0.7444250056639073,0.9043370343356448,0,0.542602220601387,4,1.6,0.3333333333333333,O5,de-protonated,0,-9999,C15 H24 O5,15,24,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
265,283.191682,283.19169117744667,283.19148292839907,31540980,-9999,548468.3,513.11,-1,0.7353647978721224,0.9096366962679494,0.9944896781709148,0.9435778890291356,3,1.75,0.25,O4,de-protonated,0,-9999,C16 H28 O4,16,28,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
267,283.228056,283.22806514811657,283.2278684377491,10347256,-9999,584066.7,167.03,-1,0.6945304094982793,0.911345060983017,0.9863264505902818,0.941337616825923,2,1.8823529411764703,0.17647058823529413,O3,de-protonated,0,-9999,C17 H32 O3,17,32,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
