Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
208,297.206783,297.20683796472343,297.2071329928591,1032529.5,-9999,575279.9,14.8,-1,-0.992668421839648,0.8362749527702494,0,0.5017649716621496,3,1.7647058823529411,0.2352941176470588,O4,de-protonated,0,-9999,C17 H30 O4,17,30,4,-9999,-9999,-9999,-9999,N/A,-9999
214,299.186109,299.1861591213078,299.1863975479691,2130362.3,-9999,392063,32.59,-1,-0.796916782392017,0.8911577928156827,0,0.5346946756894096,3,1.75,0.3125,O5,de-protonated,0,-9999,C16 H28 O5,16,28,5,-9999,-9999,-9999,-9999,N/A,-9999
217,299.18739,299.18744011817324,299.1877349584891,1038074.4,-9999,485612.9,14.89,-1,-0.9854692602980832,0.838438680353434,0,0.5030632082120604,8,1.411764705882353,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H24 O1 N4,17,24,1,4,-9999,-9999,-9999,N/A,-9999
224,301.048363,301.0484085643677,301.04826336653906,1155221.3,-9999,802043,16.64,-1,0.4823074779919886,0.9586696999613474,0,0.5752018199768084,6,1.25,0.5833333333333334,P1 O7,de-protonated,0,-9999,C12 H15 O7 P1,12,15,7,-9999,1,-9999,-9999,N/A,-9999
230,301.203059,301.2031041858262,301.2033850229491,1321383.4,-9999,698154.1,19.31,-1,-0.9323836877371952,0.8540714006140049,0,0.5124428403684029,7,1.5294117647058822,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H26 O1 N4,17,26,1,4,-9999,-9999,-9999,N/A,-9999
231,301.203414,301.2034591849575,301.2033850229491,978855.4,-9999,714966.8,13.81,-1,0.24621904046597876,0.9890601682458452,0,0.593436100947507,7,1.5294117647058822,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H26 O1 N4,17,26,1,4,-9999,-9999,-9999,N/A,-9999
233,301.204888,301.2049331813506,301.2050387932291,965799.6,-9999,238320.9,13.6,-1,-0.35063118106863056,0.9779392717079262,0,0.5867635630247556,2,2.066666666666667,0.13333333333333333,N2 P1 O2,de-protonated,0,-9999,C15 H31 O2 N2 P1,15,31,2,2,1,-9999,-9999,N/A,-9999
239,303.21737,303.2174102568023,303.2176976768891,4494228.5,-9999,379317,70.28,-1,-0.947900102825314,0.4247810262207441,0.8524773804394659,0.5958595679082328,1,2,0.3125,O5,de-protonated,0,-9999,C16 H32 O5,16,32,5,-9999,-9999,-9999,-9999,N/A,-9999
242,303.218758,303.2187982534058,303.2190350874091,2280468.5,-9999,522324,34.71,-1,-0.7810657508653001,0.8952115157041669,0,0.5371269094225001,6,1.6470588235294117,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H28 O1 N4,17,28,1,4,-9999,-9999,-9999,N/A,-9999
243,303.219169,303.2192092524001,303.2190350874091,1371028.6,-9999,1420428.1,20.1,-1,0.574386733155899,0.9418930251924263,0,0.5651358151154559,6,1.6470588235294117,0.0588235294117647,N4 O1,de-protonated,0,-9999,C17 H28 O1 N4,17,28,1,4,-9999,-9999,-9999,N/A,-9999
