Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
72,273.060265,273.0602458912973,273.0603641652091,1715473.4,-9999,535933.2,27.1,-1,-0.4331419982107153,0.9698859964034744,0.9719940872739048,0.9707292327516464,5,1.3333333333333333,0.4166666666666667,34S1 O5,de-protonated,1,63,C12 H16 O5 34S1,12,16,5,-9999,-9999,-9999,-9999,-9999,-9999,1
73,273.0615,273.0614808900666,273.06159095545905,904785.5,-9999,482092.5,13.36,-1,-0.4030789979031914,0.9709498555595292,0,0.5825699133357175,5,1.2727272727272727,0.7272727272727273,O8,de-protonated,0,-9999,C11 H14 O8,11,14,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999
74,273.079634,273.0796148719949,273.0798382775491,828691.7,-9999,954334.7,12.07,-1,-0.8180961127018872,0.8856440101633294,0,0.5313864060979976,9,1.0714285714285714,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H15 O2 N2 P1,14,15,2,2,1,-9999,-9999,-9999,-9999,-9999
75,273.080249,273.080229871382,273.0802184000691,1095635.8,-9999,529639.5,16.59,-1,0.04200711784860921,0.9996798672735344,0,0.5998079203641206,4,1.5,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H18 O5 S1,12,18,5,-9999,-9999,1,-9999,-9999,-9999,-9999
76,273.097913,273.0978938537788,273.0979764648091,903829.9,-9999,674732.4,13.34,-1,-0.3024959443090837,0.9835338305404177,0,0.5901202983242505,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77,274.047187,274.04716690777013,274.0471877257891,975242.5,-9999,650067.3,14.55,-1,-0.07596508891163134,0.9989534630237196,0.982955839252334,0.9925544135151654,5,1.4,0.6,13C1 S1 O6,de-protonated,1,70,C10 H14 O6 S1 13C1,10,14,6,-9999,-9999,1,1,-9999,-9999,-9999
77,274.047187,274.04716690777013,274.04694394888907,975242.5,-9999,650067.3,14.55,-1,0.8135791549253982,0.8868291871396281,0,0.5320975122837769,10,0.75,0.4166666666666667,N3 O5,de-protonated,0,-9999,C12 H9 O5 N3,12,9,5,3,-9999,-9999,-9999,-9999,-9999,-9999
79,275.074632,275.0746108838593,275.07473909646905,1540103.4,-9999,499651.6,24.12,-1,-0.4661009955813855,0.9613470969271766,0,0.5768082581563059,8,1.0666666666666669,0.2,S1 O3,de-protonated,0,-9999,C15 H16 O3 S1,15,16,3,-9999,-9999,1,-9999,-9999,-9999,-9999
80,277.075031,277.0750078903412,277.0751330196391,970615.1,-9999,627863.9,14.47,-1,-0.4516078239187451,0.9636699757197552,0,0.5782019854318532,3,1.6363636363636365,0.5454545454545454,S1 O6,de-protonated,0,-9999,C11 H18 O6 S1,11,18,6,-9999,-9999,1,-9999,-9999,-9999,-9999
80,277.075031,277.0750078903412,277.0747528971191,970615.1,-9999,627863.9,14.47,-1,0.9203047895071536,0.8575464402552251,0,0.514527864153135,8,1.1538461538461535,0.2307692307692308,N2 P1 O3,de-protonated,0,-9999,C13 H15 O3 N2 P1,13,15,3,2,1,-9999,-9999,-9999,-9999,-9999
81,277.129206,277.1291828363526,277.12927659372906,986621.5,-9999,611063.2,14.74,-1,-0.33831639019982085,0.979445924777586,0,0.5876675548665515,2,1.8333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H22 O7,12,22,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82,279.090706,279.09068088159967,279.0907830840991,1587940.4,-9999,580976.9,24.74,-1,-0.3661980459926138,0.9759611956683892,0,0.5855767174010336,2,1.818181818181818,0.5454545454545454,S1 O6,de-protonated,0,-9999,C11 H20 O6 S1,11,20,6,-9999,-9999,1,-9999,-9999,-9999,-9999
82,279.090706,279.09068088159967,279.09040296157906,1587940.4,-9999,580976.9,24.74,-1,0.9958064399872616,0.8353286444923183,0,0.5011971866953909,7,1.3076923076923077,0.2307692307692308,N2 P1 O3,de-protonated,0,-9999,C13 H17 O3 N2 P1,13,17,3,2,1,-9999,-9999,-9999,-9999,-9999
84,279.123723,279.1236978486962,279.12379729012906,1919976.3,-9999,641089.2,30.33,-1,-0.3562628260395289,0.977233119310748,0,0.5863398715864487,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
85,279.162985,279.1629598095693,279.1631739802791,961772.9,-9999,678248.3,14.21,-1,-0.7671882603375363,0.8987083856766358,0,0.5392250314059814,5,1.6666666666666667,0.06666666666666667,N2 P1 O1,de-protonated,0,-9999,C15 H25 O1 N2 P1,15,25,1,2,1,-9999,-9999,-9999,-9999,-9999
