Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
135,293.178992,293.1790740527801,293.17920416725906,10424458,-9999,488044.2,170.99,-1,-0.4438052805729531,0.9242260378410908,0.9953817475329934,0.9526883217178518,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999,-9999,N/A,-9999,-9999
135,293.178992,293.1790740527801,293.1788240447391,10424458,-9999,488044.2,170.99,-1,0.8527493137400869,0.9188646910342524,0.9793664583209808,0.9430653979489436,5,1.6875,0.0625,N2 P1 O1,de-protonated,0,-9999,C16 H27 O1 N2 P1,16,27,1,2,1,-9999,-9999,-9999,N/A,-9999,-9999
137,294.177216,294.177296019385,294.1774443202591,900328.4,-9999,687101.4,12.98,-1,-0.5041204789129032,0.954934136627184,0,0.5729604819763104,0,2.5,0.08333333333333333,N3 S1 P1 O1,de-protonated,0,-9999,C12 H30 O1 N3 P1 S1,12,30,1,3,1,1,-9999,-9999,N/A,-9999,-9999
138,294.179073,294.17915301560225,294.1791876990091,14527721,-9999,414489.5,239.07,-1,-0.11789891434398792,0.9982450616342858,0.9899074966507608,0.9949100356408758,5,1.625,0.25,13C1 O4,de-protonated,1,132,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1,-9999,N/A,-9999,-9999
140,294.182236,294.18231600915914,294.18255900232907,1514984.9,-9999,487808.7,23.18,-1,-0.8259944802914069,0.8835596893903581,0.9953817475329934,0.9282885126474122,0,2.3076923076923075,0.3076923076923077,13C1 S1 O4,de-protonated,1,135,C13 H30 O4 S1 13C1,13,30,4,-9999,-9999,1,1,-9999,N/A,-9999,-9999
140,294.182236,294.18231600915914,294.1821788798091,1514984.9,-9999,487808.7,23.18,-1,0.4661375157364068,0.9613411582138944,0.9793664583209808,0.9685512782567288,5,1.8,0.06666666666666667,13C1 N2 P1 O1,de-protonated,1,135,C15 H27 O1 N2 P1 13C1,15,27,1,2,1,-9999,1,-9999,N/A,-9999,-9999
140,294.182236,294.18231600915914,294.18231522542914,1514984.9,-9999,487808.7,23.18,-1,0.00266409624652276,0.9999987121853244,0,0.5999992273111946,5,1.6666666666666667,0.2,N3 O3,de-protonated,0,-9999,C15 H25 O3 N3,15,25,3,3,-9999,-9999,-9999,-9999,N/A,-9999,-9999
141,294.184045,294.18412500547424,294.1839689957091,2497961,-9999,349799.5,39.49,-1,0.5303136186093248,0.950250852617373,0,0.5701505115704237,0,2.3076923076923075,0.3076923076923077,N1 P1 O4,de-protonated,0,-9999,C13 H30 O4 N1 P1,13,30,4,1,1,-9999,-9999,-9999,N/A,-9999,-9999
144,294.937701,294.9377794702673,294.9376537428191,2653232,-9999,459225.7,42.06,-1,0.42628483196030886,0.9675650415689908,0,0.5805390249413944,10,0.3636363636363637,0.5454545454545454,S2 O6,de-protonated,0,-9999,C11 H4 O6 S2,11,4,6,-9999,-9999,2,-9999,-9999,N/A,-9999,-9999
145,295.082313,295.08239117569076,295.0823264003491,1117789.8,-9999,403636.5,16.59,-1,0.2195161685026513,0.9912945824704674,0,0.5947767494822804,7,1.1428571428571428,0.5,O7,de-protonated,0,-9999,C14 H16 O7,14,16,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
145,295.082313,295.08239117569076,295.0821642090191,1117789.8,-9999,403636.5,16.59,-1,0.7691643182977491,0.8982134559017375,0,0.5389280735410424,2,2.3333333333333335,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H21 O1 N4 P1 S2,9,21,1,4,1,2,-9999,-9999,N/A,-9999,-9999
147,295.118638,295.11871610169624,295.1187119096991,2211137.3,-9999,372862.8,34.73,-1,0.01420444382021718,0.9999633904538152,0,0.599978034272289,6,1.3333333333333333,0.4,O6,de-protonated,0,-9999,C15 H20 O6,15,20,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
148,295.131631,295.13170907522937,295.1315990692691,968514.4,-9999,510666,14.11,-1,0.37273528355910135,0.9751061376461276,0,0.5850636825876766,1,2.0833333333333335,0.5,P1 O6,de-protonated,0,-9999,C12 H25 O6 P1,12,25,6,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
149,295.155096,295.15517402743086,295.15509741904907,851268.6,-9999,766184.2,12.16,-1,0.25955296879250733,0.987850618438844,0,0.5927103710633065,5,1.5,0.3125,O5,de-protonated,0,-9999,C16 H24 O5,16,24,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
